(152, 93, 197, 228, 55, 69, 39, 37)
(93, 82, 186, 233, 57, 78, 37, 34)
(83, 82, 178, 247, 59, 77, 34, 33)
(76, 83, 189, 232, 56, 71, 33, 34)
(67, 80, 211, 237, 63, 67, 31, 33)
(53, 79, 219, 271, 78, 70, 30, 31)
(58, 87, 211, 275, 90, 50, 28, 32)
(57, 90, 206, 366, 126, 48, 30, 31)
(58, 95, 206, 428, 142, 52, 31, 30)
(53, 90, 210, 471, 180, 57, 31, 30)
(53, 88, 198, 504, 208, 52, 30, 30)
(47, 82, 199, 588, 342, 61, 28, 27)
(43, 84, 204, 621, 385, 63, 28, 27)
(45, 86, 192, 608, 421, 72, 40, 34)
(43, 75, 150, 769, 532, 82, 42, 33)
(51, 90, 169, 823, 568, 107, 57, 39)
(52, 96, 182, 839, 560, 110, 61, 43)
(54, 95, 190, 881, 593, 118, 65, 47)
(54, 92, 201, 937, 626, 121, 85, 46)
(70, 120, 248, 988, 563, 127, 94, 60)
(69, 119, 261, 992, 568, 114, 87, 57)
(74, 127, 260, 1009, 622, 119, 93, 62)
(75, 128, 258, 942, 588, 121, 98, 63)
(81, 135, 263, 945, 614, 140, 102, 68)
(74, 125, 232, 848, 629, 138, 99, 62)
(73, 121, 225, 966, 644, 144, 108, 65)
(69, 110, 223, 962, 628, 139, 102, 59)
(65, 108, 218, 1025, 689, 143, 102, 56)
(56, 99, 200, 1024, 728, 141, 80, 49)
(59, 100, 201, 984, 756, 133, 82, 50)
(64, 126, 210, 952, 742, 132, 79, 54)
(65, 126, 199, 1062, 731, 130, 80, 57)
(67, 126, 216, 1029, 711, 122, 83, 60)
(72, 130, 223, 1044, 681, 103, 87, 64)
(73, 136, 247, 1055, 648, 115, 86, 65)
(70, 129, 235, 1022, 648, 107, 88, 62)
(72, 135, 256, 917, 604, 109, 99, 64)
(69, 133, 235, 924, 535, 114, 96, 62)
(64, 127, 230, 881, 434, 106, 94, 58)
(58, 116, 206, 864, 404, 93, 90, 56)
(53, 96, 191, 755, 352, 95, 82, 52)
(51, 89, 170, 682, 344, 100, 69, 49)
(52, 85, 169, 691, 374, 89, 57, 49)
